"GEOID","B01001_001","B25001_001","B26001_001","residentialStability","populationCrowding","perEnglishLessThanWell","perRenters","perSingleParentHouseholds","perUnitsRecreational","sexualOffenseRate","homicideRate","neighborhoodStability","mentalHealthProvider","ambulanceEmergencyPerCapita","safety_score","safety_rnk","crime_score","infrastructure_score","social_cohesion_score","structural_composition_score","safety_state_rnk","NAME"
"18051",32986,14762,753,89.6538727306992,6.55273536252402,1.09974918001158,22.4257329622678,7.94314381270903,8.40597758405978,0.018189534954223,0,11,66.6949614988177,0,98.88,41.008174386921,106.99,90.06,111.04,102.48,42.2535211267606,"Gibson County, Indiana"
"18053",66377,29878,5432,87.1450594261276,6.88182927145786,1.257123122086,24.9802668671302,12.269686437194,2.75552707465556,0.0316374647844886,0.00301309188423701,11,31.6374647844886,4.51963782635552,93.68,31.6076294277929,104.13,88.49,99.98,110.91,26.7605633802817,"Grant County, Indiana"
"18055",30954,14366,367,89.0623963928121,4.07506136345641,0.332422250129275,20.5751885258022,10.7425084109225,19.4952681388013,0.0743038056470892,0,12,22.6142017186793,0,107.57,60.9673024523161,103.3,108.07,110.96,97.78,64.7887323943662,"Greene County, Indiana"
"18057",357176,140389,1929,88.8606298540582,9.91405821042189,4.71211952693434,21.0136828109357,7.13668891875859,5.43086727625381,0.0333169081909199,0.00251976616569982,8,92.6714000940713,0,84.61,19.8569482288828,104.34,79.45,98.17,112.65,11.2676056338028,"Hamilton County, Indiana"
"18059",82013,33398,699,88.533708284598,6.18879544192964,1.5092217196691,17.6393350371638,7.07064442101346,1.12847222222222,0.0329216099886603,0.0115835294404546,10,29.2636533232536,0,101.16,45.0953678474114,98.43,105.36,112.8,104.85,47.887323943662,"Hancock County, Indiana"
"18061",39785,16842,461,93.0823903728222,3.05958869601063,1.61316963056764,10.9872523591413,8.11006994852844,12.5592417061611,0.0201080809350258,0.00502702023375644,13,22.621591051904,0,121.57,88.9986376021798,103.57,108.07,115.99,78.45,95.7746478873239,"Harrison County, Indiana"
"18063",179379,68433,3882,88.6894344141489,7.73047290436523,3.34745535474875,20.8589878360114,9.24224243989125,2.46723207401696,0.0524030126157465,0.00167243657284298,9,39.5809988906171,0,93.4,31.3010899182561,103.65,101.14,100.55,110.17,23.943661971831,"Hendricks County, Indiana"
"18065",48896,20968,3226,89.6858105113888,6.22430477011185,0.570682400735116,19.8315911730546,10.1841820151679,1.43540669856459,0.0270983311518325,0.00102257853403141,12,20.4515706806283,0,105.92,57.2547683923706,105.73,108.96,107.68,97.96,61.9718309859155,"Henry County, Indiana"
"18067",83610,39795,1166,87.4294893804876,9.29360142726265,1.85984722683494,25.19820369241,12.0014802584759,6.17231033004715,0.169836144001914,0.00598014591556034,10,56.2133716062672,0,86.37,21.866485013624,93.12,94.35,94.68,113.13,14.0845070422535,"Howard County, Indiana"
"18069",36757,16275,1381,89.0874373005016,5.72301708570635,0.912676056338028,19.039331709015,10.2383923294149,4.86641221374046,0.0285659874309655,0.00136028511576026,11,29.9262725467258,0,103.16,49.7275204359673,105.41,105.09,107.69,101.28,54.9295774647887,"Huntington County, Indiana"
"18071",46319,19231,749,90.9205772172101,10.0747411076092,7.72549732037424,23.141661359294,8.85883347421809,13.3243606998654,0.0474967076145858,0,10,25.9072950625014,0,94.77,33.5490463215259,105.06,106.73,86.81,102.77,29.5774647887324,"Jackson County, Indiana"
"18073",33198,13708,567,93.4681811109382,5.23333155962326,1.69635839664658,15.2601690438457,8.91466709041792,23.1729055258467,0.00150611482619435,0,13,42.1712151334418,0,116.33,80.7220708446866,108.08,100.08,109.85,79.95,88.7323943661972,"Jasper County, Indiana"
"18075",20281,8908,262,88.0137854138158,5.82769919946908,1.44112478031634,18.6474449132677,10.6797336348788,0,0,0,14,44.376510034022,0,105.69,56.641689373297,108.18,99.18,105.23,94.66,60.5633802816901,"Jay County, Indiana"
"18077",33074,14446,1940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jefferson County, Indiana"
"18079",27584,11691,366,89.1445164172437,5.06693356687101,1.06879898662022,15.5183362438482,14.4423791821561,7.84103114930183,0.0326276102088167,0,13,29.0023201856148,0,107.95,61.9891008174387,106.04,105.46,98.77,91.62,67.6056338028169,"Jennings County, Indiana"
"18081",163983,64800,2726,85.2672889930976,7.8094806763285,3.31643224532579,24.0137053352912,10.0417797863866,16.0024338302403,0.0201240372477635,0.00345564275971696,9,55.4935572589842,0,86.16,21.6621253405995,104.6,94.64,98.61,118.81,12.6760563380282,"Johnson County, Indiana"
